City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
148,santa vitoria do palmar,-33.5189,-53.3681,16.35,93,100,3.94,BR,1718167236
149,mount pearl,47.5166,-52.7813,13.58,90,75,8.23,CA,1718166950
150,haiku-pauwela,20.9219,-156.3051,26.01,72,20,9.77,US,1718167236
151,ormara,25.2088,64.6357,28.42,82,58,5.19,PK,1718167236
152,chilliwack,49.1747,-121.9443,14.17,61,100,2.57,CA,1718167011
153,nacala,-14.5428,40.6728,20.38,78,0,4.91,MZ,1718167236
154,vorkuta,67.5,64.0,12.9,74,95,2.13,RU,1718167236
155,qamdo,31.1667,97.2333,17.56,33,74,1.24,CN,1718167236
156,antonio enes,-16.2325,39.9086,20.98,83,53,4.47,MZ,1718167236
157,lockhart,28.6194,-81.4426,25.52,96,100,3.09,US,1718167236
158,la mira,18.035,-102.3266,25.17,85,62,0.92,MX,1718167236
159,kimbe,-5.5502,150.1429,29.02,83,94,0.37,PG,1718167237
160,nagqu,31.5,92.0,12.31,55,82,5.56,CN,1718167237
161,ghat,24.9647,10.1728,30.53,11,0,1.56,LY,1718167237
162,nuku'alofa,-21.1333,-175.2,26.19,83,75,6.17,TO,1718167237
163,verkhnevilyuysk,63.4453,120.3167,22.95,33,88,1.86,RU,1718167237
164,kabinda,-6.1333,24.4833,18.84,56,85,2.0,CD,1718167237
165,sisimiut,66.9395,-53.6735,1.58,100,100,2.32,GL,1718167237
166,utrik,11.2278,169.8474,27.99,82,21,8.97,MH,1718167237
167,longyearbyen,78.2186,15.6401,3.91,81,75,7.2,SJ,1718167237
168,qui nhon,13.7667,109.2333,35.98,46,91,3.35,VN,1718167237
169,chos malal,-37.3781,-70.2709,7.22,85,100,3.3,AR,1718167237
170,anadyr,64.75,177.4833,9.28,61,20,7.0,RU,1718167237
171,chiang klang,19.2938,100.8617,27.17,92,95,2.07,TH,1718167237
172,san antonio de pale,-1.4014,5.6325,24.62,83,69,4.04,GQ,1718167237
173,grootfontein,-19.5667,18.1167,3.76,75,0,1.54,NA,1718167237
174,quillacollo,-17.4,-66.2833,15.62,14,100,0.45,BO,1718167237
175,susuman,62.7833,148.1667,16.66,29,75,3.58,RU,1718167237
176,newnham,-41.3833,147.1333,12.4,46,75,3.6,AU,1718167237
177,marshall,34.3834,-86.3333,20.99,75,0,2.06,US,1718167085
178,maintirano,-18.0667,44.0167,22.77,78,0,3.1,MG,1718167237
179,qarauyl,48.9451,79.255,16.88,59,80,4.77,KZ,1718167237
180,quellon,-43.1167,-73.6167,10.96,95,97,4.08,CL,1718167238
181,okakarara,-20.5833,17.4333,6.37,51,0,2.96,NA,1718167238
182,college,64.8569,-147.8028,15.81,86,75,0.0,US,1718167238
183,gisborne,-38.6533,178.0042,11.65,72,82,2.14,NZ,1718167238
184,port alfred,-33.5906,26.891,18.43,76,62,4.47,ZA,1718167238
185,rongelap,11.1635,166.8941,27.99,82,36,9.24,MH,1718167238
186,rusape,-18.5278,32.1284,6.31,96,7,1.05,ZW,1718167238
187,corner brook,48.9667,-57.9484,10.09,98,60,0.81,CA,1718167165
188,hawaiian paradise park,19.5933,-154.9731,25.73,80,40,2.57,US,1718167238
